,Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.Passengers
6266,SIAI MARCHETTI,S211,0.0,0.0,0.0,2.0,2.0
6267,SIAI MARCHETTI,SF260,2.0,0.0,0.0,0.0,2.0
6268,SIAI MARCHETTI,SM-1019B,0.0,0.0,0.0,1.0,1.0
6269,SIAI-MARCHETTI,F.260,0.0,2.0,0.0,0.0,2.0
6270,SIAI-MARCHETTI,S.205/22R,1.0,0.0,4.0,0.0,5.0
6271,SIAI-MARCHETTI,S.20518R,0.0,0.0,0.0,4.0,4.0
6272,SIAI-MARCHETTI,S205-22R,0.0,0.0,0.0,1.0,1.0
6273,SIAI-MARCHETTI,SF-260,1.0,0.0,0.0,0.0,1.0
6274,SIAI-MARCHETTI,SF-260C,2.0,0.0,0.0,0.0,2.0
6275,SIAI-MARCHETTI,SF.260TP,0.0,0.0,0.0,2.0,2.0
6276,SIAI-MARCHETTI,SF260,0.0,2.0,0.0,0.0,2.0
6277,SIAI-MARCHETTI,SM,0.0,0.0,0.0,2.0,2.0
6278,SIAI-MARCHETTI,SM-1019B,1.0,0.0,0.0,0.0,1.0
6279,SIAI-MARCHETTI,SM1019,0.0,2.0,0.0,2.0,4.0
6280,SIBLEY,GLASAIR,0.0,0.0,1.0,0.0,1.0
6281,SIEBEL,AURIGA,0.0,0.0,0.0,1.0,1.0
6282,SIEBER PAUL P,NIEUPORT11,0.0,0.0,0.0,1.0,1.0
6283,SIEGEL GERALD,LONGEZ,0.0,0.0,1.0,0.0,1.0
6284,SIEMER JAMES H,EARTHSTAR,0.0,0.0,0.0,1.0,1.0
6285,SIERRA,E5AREPLICA,0.0,0.0,0.0,1.0,1.0
6286,SIGMON HARVEY E,VANSRV6,0.0,0.0,0.0,2.0,2.0
6287,SIKES,ZENITHCH750STOL,0.0,2.0,0.0,0.0,2.0
6288,SILENCE,TWISTER,0.0,0.0,1.0,0.0,1.0
6289,SILER RONALD E,ULTRASTAR,0.0,0.0,1.0,0.0,1.0
6290,SILFVAST,STARDUSTERTOO,2.0,0.0,0.0,0.0,2.0
6291,SILVAIRE,8,0.0,0.0,0.0,2.0,2.0
6292,SILVAIRE,LUSCOMBE8A,3.0,2.0,1.0,5.0,11.0
6293,SILVAIRE,LUSCOMBE8E,0.0,1.0,0.0,3.0,4.0
6294,SILVAIRE,LUSCOMBE8F,0.0,0.0,2.0,3.0,5.0
6295,SILVEIRA JONATHAN A,SONEX,0.0,0.0,0.0,4.0,4.0
6296,SIMMONS,GP-4,0.0,0.0,0.0,2.0,2.0
6297,SIMMONS,VANSRV-8A,0.0,0.0,0.0,2.0,2.0
6298,SIMMONS GARY F,STOLCH701,0.0,0.0,0.0,1.0,1.0
6299,SIMMONS NOEL,SDL,0.0,0.0,0.0,2.0,2.0
6300,SIMMONS WILLIAM E,AVENTURA2,0.0,2.0,0.0,0.0,2.0
6301,SINCLAIR,ZENITH701,0.0,0.0,0.0,1.0,1.0
6302,"SIX CHUTTER, INC.",SR7,0.0,2.0,0.0,0.0,2.0
6303,SKAGGS RONNIE LYNN,RANSS6S,0.0,0.0,0.0,2.0,2.0
6304,SKEETER,1M,1.0,0.0,0.0,0.0,1.0
6305,SKILES KENNETH C,RV-6A,2.0,0.0,0.0,0.0,2.0
6306,SKISTMAS GEORGE,PIETNPOLAIRCAMPER,0.0,0.0,0.0,1.0,1.0
6307,SKWIRA MATTHEW J,W-10TAILWIND,1.0,0.0,0.0,0.0,1.0
6308,"SKY INTERNATIONAL, INC.",A-1C-180,0.0,1.0,0.0,0.0,1.0
6309,SKYBOLT,SMITHSPECIALSKYBOL,0.0,0.0,0.0,1.0,1.0
6310,SKYKITS,SAVANNAHADV,0.0,0.0,0.0,2.0,2.0
6311,SKYKITS,SAVANNAHVGW,1.0,0.0,0.0,0.0,1.0
6312,SKYKITS CORP,SAVANNAHVGW,0.0,0.0,0.0,3.0,3.0
6313,SKYKITS CORPORATION,SAVANNAH,0.0,0.0,0.0,2.0,2.0
6314,SKYKITS USA CORP,SAVANNAHADV,1.0,0.0,1.0,0.0,2.0
6315,SKYRAIDER,SKYRAIDER,1.0,0.0,0.0,0.0,1.0
6316,SKYSTAR,KITFOX,0.0,0.0,0.0,1.0,1.0
6317,SKYSTAR,KITFOXSER5SAFARI,0.0,0.0,0.0,1.0,1.0
6318,SLAGLE,THORPT-18,0.0,0.0,0.0,2.0,2.0
6319,SLAUGHTER MIKE,CH601-HDS,0.0,1.0,1.0,0.0,2.0
